ABACA, TAREI SULAC BONCA ABACA 
ABACE, TAREI SLANA CIOMP ABACA ABACE 
ABALE, TAREI SLANA COBUZ ABALE 
ABATA, TAREI SULAC MOAZA ABNEG ABATA 
ABATE, TAREI SEACA BOXUL ABACA ABATE 
ABATI, TAREI COTUL SVING BOXEZ ABATI 
ABATU, TAREI SULAC AMUZA ABATU 
ABAUA, TAREI SULAC ADUNA ABACA ABAUA 
ABCES, TAREI LOCUS ABACA ABCES 
ABDIC, TAREI MILAN SODIC ABDIC 
ABILA, TAREI MILAN ALOCA ABNEG ABILA 
ABILE, TAREI SLICE ABNEG ABILE 
ABILI, TAREI SULAC PLANG ABILA ABILI 
ABJUR, TAREI SUCNA ARMUL ABJUR 
ABNEG, TAREI LOCUS DEMNE ABNEG 
ABOLI, TAREI SULAC PLANG ABILA ABOLI 
ABONA, TAREI SULAC AVAND ABNEG ABONA 
ABRAC, TAREI CUBAM ABRAC 
ABRAS, TAREI CUBAM ABNEG ABRAS 
ABROG, TAREI CUBAM BENGA ABROG 
ABTIE, TAREI LEITE ABACA ABTIE 
ABTII, TAREI COTUL ABDIC ABTII 
ABTIN, TAREI SUINA INCAP ABTIN 
ABTIU, TAREI SUINA UIMIT ABTIU 
ABURC, TAREI SUCNA ABACA ABURC 
ABURI, TAREI ABURC ABURI 
ABUZA, TAREI SULAC ADUNA AMBAR ABUZA 
ACAJU, TAREI SULAC ACUMA ACAJU 
ACANA, TAREI SULAC BONCA ACANA 
ACANI, TAREI SULAC DOMIN ACANI 
ACANT, TAREI SULAC COPCA ACANT 
ACARE, TAREI CRASA ACARE 
ACARI, TAREI ABURC ABACA ACARI 
ACASA, TAREI SULAC ABACA ACASA 
ACATA, TAREI SULAC COPCA ACATA 
ACATE, TAREI SEACA ABACA ACATE 
ACATI, TAREI COTUL ABACA ACATI 
ACCED, TAREI LOCUS ABUZA ACCED 
ACCES, TAREI LOCUS ABACA ACCES 
ACCIZ, TAREI MILAN SODIC ABATU ACCIZ 
ACEEA, TAREI LOCUS ABACA ACEEA 
ACEIA, TAREI SLICE ADEPT ACEIA 
ACELA, TAREI SLANA ABURC ACELA 
ACELE, TAREI SLANA PECUM ACELE 
ACERA, TAREI CRASA ACERA 
ACERB, TAREI CRASA DEBIL ACERB 
ACERE, TAREI CRASA DEBIL ACERE 
ACERI, TAREI ADECA ACERI 
ACEST, TAREI SEACA ACEST 
ACHII, TAREI SULAC DOMIN ACHII 
ACHIT, TAREI SUINA PICOL ABTIE ACHIT 
ACHIU, TAREI MILAN SODIC ABATU ACHIU 
ACIDA, TAREI MILAN SODIC ACAJU ACIDA 
ACIDE, TAREI SLICE ABDIC ACIDE 
ACILA, TAREI MILAN ALOCA ACILA 
ACILI, TAREI SULAC COACA ACILI 
ACINE, TAREI SLICE ABDIC ACINE 
ACIRA, TAREI URICA ABACA ACIRA 
ACIRE, TAREI CRILE ACIRE 
ACIRI, TAREI ABURC ABACA ACIRI 
ACIUA, TAREI MILAN SODIC GUBAV ABACA ACIUA 
ACIUI, TAREI SULAC ACIDA ACIUI 
ACIZI, TAREI SULAC DOMIN ACIZI 
ACLAM, TAREI SULAC AJUNA ACLAM 
ACNEE, TAREI LOCUS ABACA ACNEE 
ACOLO, TAREI SULAC COPCA ABALE ACOLO 
ACONT, TAREI SULAC COPCA ACONT 
ACORD, TAREI SUCNA ACORD 
ACQUA, TAREI SULAC ACUMA ACQUA 
ACREA, TAREI CONDU ACREA 
ACREI, TAREI ABACA ACREI 
ACRIA, TAREI MUSCA ACRIA 
ACRIE, TAREI NEPUS ACRIE 
ACRII, TAREI BIFAU ACRII 
ACRIM, TAREI MUSCA ACRIM 
ACRIS, TAREI MUSCA ACRIS 
ACRIT, TAREI CULMA ACRIT 
ACRIU, TAREI MUSCA ACRIU 
ACRUL, TAREI CUBAM ACRUL 
ACRUT, TAREI BUHAS ACRUT 
ACTIV, TAREI SUINA PICOL ABTIE ACTIV 
ACTOR, TAREI CROAT ACTOR 
ACTUL, TAREI SULAC ACTUL 
ACUMA, TAREI SULAC ACUMA 
ACUSA, TAREI SULAC ABACA ACUSA 
ACUSI, TAREI SULAC ACUSI 
ACUTA, TAREI SULAC ABACA ACUTA 
ACUTE, TAREI SEACA ACUTE 
ACUTI, TAREI COTUL ACUTI 
ACUZA, TAREI SULAC ACUMA ACUZA 
ACUZE, TAREI SLANA CEDAU ABACA ACUZE 
ACUZI, TAREI SULAC ACIDA ACUZI 
ADANC, TAREI SULAC ADANC 
ADAOG, TAREI SULAC AVAND ABACA ADAOG 
ADAOS, TAREI SULAC ASANA ADAOS 
ADAPA, TAREI SULAC AVAND ABACA ADAPA 
ADAPE, TAREI SLANA CIOMP ABDIC ADAPE 
ADAPI, TAREI SULAC AMINO ABACA ADAPI 
ADAST, TAREI SULAC AFANA ADAST 
ADAUG, TAREI SULAC ADUNA ADAUG 
ADAUS, TAREI SULAC AMIDA ADAUS 
ADECA, TAREI SLANA PECUM ABACA ADECA 
ADEPT, TAREI SEACA MOLAU ABNEG ADEPT 
ADERA, TAREI CRASA PEFUG ABDIC ADERA 
ADERE, TAREI CRASA NODAL ADERE 
ADERI, TAREI ADECA ADERI 
ADESE, TAREI SLANA EDEME ADESE 
ADIAI, TAREI SULAC VIIND ADIAI 
ADIAM, TAREI MILAN OFUSC ABDIC ADIAM 
ADIAT, TAREI SUINA ACLAM ADIAT 
ADIAU, TAREI MILAN BUHOS ADIAU 
ADICA, TAREI MILAN SODIC ACAJU ADICA 
ADIEM, TAREI MILOS ABDIC ADIEM 
ADINS, TAREI MILAN DUIOS ADINS 
